"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login na Sauce Demo","1","0","","0"
"0","","0","Compra de produto na Sauce Demo","1","0","","0"
